name,team,bye_week,position,adp,name_normalized,match_key,year,fantasy_points,games_played
Jonathan Taylor,IND,14.0,RB,1.0,jonathan taylor,jonathantaylor,2022,146.4,11.0
Christian McCaffrey,SF,9.0,RB,2.0,christian mccaffrey,christianmccaffrey,2022,334.1,16.0
Austin Ekeler,WAS,14.0,RB,3.8,austin ekeler,austinekeler,2022,363.7,16.0
Cooper Kupp,SEA,11.0,WR,4.0,cooper kupp,cooperkupp,2022,201.4,9.0
Derrick Henry,BAL,10.0,RB,5.3,derrick henry,derrickhenry,2022,284.8,15.0
Justin Jefferson,MIN,7.0,WR,5.5,justin jefferson,justinjefferson,2022,359.5,16.0
Dalvin Cook,FA,0.0,RB,7.5,dalvin cook,dalvincook,2022,235.1,16.0
Najee Harris,LAC,8.0,RB,8.0,najee harris,najeeharris,2022,209.3,16.0
Ja'Marr Chase,CIN,10.0,WR,8.3,jamarr chase,jamarrchase,2022,219.8,11.0
Joe Mixon,HOU,6.0,RB,10.3,joe mixon,joemixon,2022,221.7,13.0
Davante Adams,LAR,7.0,WR,12.3,davante adams,davanteadams,2022,323.2,16.0
Stefon Diggs,NE,10.0,WR,12.5,stefon diggs,stefondiggs,2022,293.2,15.0
Alvin Kamara,NO,14.0,RB,13.3,alvin kamara,alvinkamara,2022,199.8,14.0
Travis Kelce,KC,8.0,TE,15.0,travis kelce,traviskelce,2022,306.5,16.0
D'Andre Swift,CHI,14.0,RB,15.5,dandre swift,dandreswift,2022,175.5,13.0
Deebo Samuel Sr.,WAS,14.0,WR,17.0,deebo samuel,deebosamuel,2022,164.0,12.0
CeeDee Lamb,DAL,9.0,WR,19.5,ceedee lamb,ceedeelamb,2022,285.4,16.0
Aaron Jones Sr.,MIN,7.0,RB,19.5,aaron jones,aaronjones,2022,240.8,16.0
Tyreek Hill,MIA,11.0,WR,19.8,tyreek hill,tyreekhill,2022,342.9,16.0
Nick Chubb,HOU,6.0,RB,20.0,nick chubb,nickchubb,2022,258.2,16.0
Saquon Barkley,PHI,7.0,RB,20.3,saquon barkley,saquonbarkley,2022,284.0,16.0
Josh Allen,BUF,7.0,QB,20.8,josh allen,joshallen,2022,373.8,15.0
Mark Andrews,BAL,10.0,TE,21.8,mark andrews,markandrews,2022,190.5,15.0
Leonard Fournette,FA,0.0,RB,22.0,leonard fournette,leonardfournette,2022,226.7,15.0
Javonte Williams,DAL,9.0,RB,22.8,javonte williams,javontewilliams,2022,42.0,4.0
Mike Evans,TB,11.0,WR,26.8,mike evans,mikeevans,2022,225.4,15.0
Keenan Allen,FA,0.0,WR,28.3,keenan allen,keenanallen,2022,133.8,9.0
James Conner,ARI,13.0,RB,29.3,james conner,jamesconner,2022,200.2,13.0
Patrick Mahomes II,KC,8.0,QB,29.8,patrick mahomes,patrickmahomes,2022,400.8,16.0
Ezekiel Elliott,FA,0.0,RB,30.3,ezekiel elliott,ezekielelliott,2022,184.8,14.0
A.J. Brown,PHI,7.0,WR,30.8,aj brown,ajbrown,2022,286.1,16.0
Kyle Pitts,ATL,14.0,TE,32.8,kyle pitts,kylepitts,2022,75.6,10.0
Michael Pittman Jr.,IND,14.0,WR,33.5,michael pittman,michaelpittman,2022,204.5,15.0
Tee Higgins,CIN,10.0,WR,33.8,tee higgins,teehiggins,2022,219.2,15.0
Justin Herbert,LAC,8.0,QB,34.5,justin herbert,justinherbert,2022,261.4,16.0
David Montgomery,DET,6.0,RB,36.5,david montgomery,davidmontgomery,2022,175.6,15.0
Cam Akers,NO,14.0,RB,39.8,cam akers,camakers,2022,125.5,14.0
George Kittle,SF,9.0,TE,39.8,george kittle,georgekittle,2022,181.6,14.0
Travis Etienne Jr.,JAC,11.0,RB,40.5,travis etienne,travisetienne,2022,199.7,16.0
Terry McLaurin,WAS,14.0,WR,41.0,terry mclaurin,terrymclaurin,2022,212.6,16.0
Lamar Jackson,BAL,10.0,QB,43.5,lamar jackson,lamarjackson,2022,236.1,12.0
DJ Moore,CHI,14.0,WR,43.8,dj moore,djmoore,2022,197.1,16.0
Diontae Johnson,CLE,9.0,WR,43.8,diontae johnson,diontaejohnson,2022,172.9,16.0
Darren Waller,FA,0.0,TE,44.8,darren waller,darrenwaller,2022,79.3,8.0
Mike Williams,LAC,8.0,WR,46.0,mike williams,mikewilliams,2022,169.3,12.0
Jaylen Waddle,MIA,11.0,WR,47.3,jaylen waddle,jaylenwaddle,2022,248.9,16.0
DK Metcalf,PIT,9.0,WR,48.3,dk metcalf,dkmetcalf,2022,219.8,16.0
Josh Jacobs,GB,14.0,RB,49.5,josh jacobs,joshjacobs,2022,321.3,16.0
J.K. Dobbins,DEN,9.0,RB,52.0,jk dobbins,jkdobbins,2022,81.2,8.0
Elijah Mitchell,KC,8.0,RB,52.0,elijah mitchell,elijahmitchell,2022,26.1,4.0
Breece Hall,NYJ,10.0,RB,52.3,breece hall,breecehall,2022,115.1,7.0
Kyler Murray,ARI,13.0,QB,53.8,kyler murray,kylermurray,2022,200.5,11.0
Jalen Hurts,PHI,7.0,QB,55.3,jalen hurts,jalenhurts,2022,369.6,14.0
Brandin Cooks,NO,14.0,WR,56.0,brandin cooks,brandincooks,2022,124.0,12.0
Dalton Schultz,HOU,6.0,TE,57.3,dalton schultz,daltonschultz,2022,135.4,14.0
Courtland Sutton,DEN,9.0,WR,58.0,courtland sutton,courtlandsutton,2022,147.1,14.0
Joe Burrow,CIN,10.0,QB,60.3,joe burrow,joeburrow,2022,339.1,15.0
Marquise Brown,KC,8.0,WR,61.5,marquise brown,marquisebrown,2022,154.3,11.0
Chris Godwin,TB,11.0,WR,61.8,chris godwin,chrisgodwin,2022,213.3,14.0
Allen Robinson II ,FA,0.0,WR,62.8,allen robinson ii,allenrobinsonii,2022,84.9,10.0
Amon-Ra St. Brown,DET,6.0,WR,63.5,amon ra st brown,amonrastbrown,2022,256.7,15.0
Clyde Edwards-Helaire,NO,14.0,RB,64.0,clyde edwards helaire,clydeedwardshelaire,2022,98.3,10.0
Antonio Gibson,NE,10.0,RB,64.8,antonio gibson,antoniogibson,2022,165.9,15.0
Jerry Jeudy,CLE,9.0,WR,65.8,jerry jeudy,jerryjeudy,2022,179.9,14.0
T.J. Hockenson,MIN,7.0,TE,65.8,tj hockenson,tjhockenson,2022,212.8,16.0
Gabe Davis,FA,0.0,WR,67.3,gabe davis,gabedavis,2022,164.7,14.0
A.J. Dillon,PHI,7.0,RB,67.8,aj dillon,ajdillon,2022,164.3,16.0
Amari Cooper,FA,0.0,WR,67.8,amari cooper,amaricooper,2022,240.9,16.0
Dallas Goedert,PHI,7.0,TE,70.5,dallas goedert,dallasgoedert,2022,130.6,11.0
Tom Brady,FA,0.0,QB,72.0,tom brady,tombrady,2022,264.3,16.0
Adam Thielen,CAR,13.0,WR,73.3,adam thielen,adamthielen,2022,170.8,16.0
Darnell Mooney,ATL,14.0,WR,73.5,darnell mooney,darnellmooney,2022,101.5,12.0
JuJu Smith-Schuster,KC,8.0,WR,74.3,juju smith schuster,jujusmithschuster,2022,179.8,15.0
Russell Wilson,NYG,9.0,QB,77.5,russell wilson,russellwilson,2022,201.5,14.0
Michael Thomas ,FA,0.0,WR,80.0,michael thomas,michaelthomas,2022,51.1,3.0
Aaron Rodgers,PIT,9.0,QB,80.3,aaron rodgers,aaronrodgers,2022,228.0,16.0
Dak Prescott,DAL,9.0,QB,82.0,dak prescott,dakprescott,2022,189.9,11.0
Devin Singletary,NYG,9.0,RB,82.5,devin singletary,devinsingletary,2022,175.7,15.0
Hunter Renfrow,CAR,13.0,WR,83.3,hunter renfrow,hunterrenfrow,2022,59.7,9.0
DeAndre Hopkins,BAL,10.0,WR,83.3,deandre hopkins,deandrehopkins,2022,151.7,9.0
Dameon Pierce,HU,6.0,RB,83.5,dameon pierce,dameonpierce,2022,166.4,13.0
Damien Harris,FA,0.0,RB,83.8,damien harris,damienharris,2022,84.8,10.0
Miles Sanders,DAL,9.0,RB,84.5,miles sanders,milessanders,2022,213.4,16.0
Kareem Hunt,KC,8.0,RB,85.3,kareem hunt,kareemhunt,2022,121.0,16.0
Cordarrelle Patterson,PIT,9.0,RB,85.8,cordarrelle patterson,cordarrellepatterson,2022,138.8,12.0
Tony Pollard,TEN,6.0,RB,86.0,tony pollard,tonypollard,2022,246.9,15.0
Chase Edmonds,FA,0.0,RB,86.8,chase edmonds,chaseedmonds,2022,69.7,12.0
Rashaad Penny ,FA,0.0,RB,87.0,rashaad penny,rashaadpenny,2022,52.2,5.0
Rashod Bateman,BAL,10.0,WR,88.5,rashod bateman,rashodbateman,2022,53.5,6.0
Zach Ertz,WAS,14.0,TE,88.8,zach ertz,zachertz,2022,115.6,10.0
Dawson Knox,BUF,7.0,TE,90.0,dawson knox,dawsonknox,2022,126.4,14.0
Elijah Moore,BUF,7.0,WR,90.0,elijah moore,elijahmoore,2022,86.0,15.0
DeVonta Smith,PHI,7.0,WR,90.3,devonta smith,devontasmith,2022,240.9,16.0
Matthew Stafford,LAR,7.0,QB,92.0,matthew stafford,matthewstafford,2022,108.4,9.0
Buffalo Bills,DST,7.0,DST,92.0,buffalo bills,buffalobills,2022,133.0,-1.0
Tyler Lockett,TEN,6.0,WR,96.5,tyler lockett,tylerlockett,2022,221.9,15.0
Brandon Aiyuk,SF,9.0,WR,98.0,brandon aiyuk,brandonaiyuk,2022,217.9,16.0
Drake London,ATL,14.0,WR,98.5,drake london,drakelondon,2022,160.6,16.0
Rhamondre Stevenson,NE,10.0,RB,100.0,rhamondre stevenson,rhamondrestevenson,2022,235.9,16.0
Christian Kirk,HOU,6.0,WR,100.3,christian kirk,christiankirk,2022,220.0,16.0
Trey Lance,LAC,8.0,QB,101.5,trey lance,treylance,2022,12.5,2.0
Robert Woods,PIT,9.0,WR,103.0,robert woods,robertwoods,2022,107.7,16.0
Allen Lazard,NYJ,10.0,WR,104.5,allen lazard,allenlazard,2022,160.7,14.0
Justin Tucker,FA,0.0,K,105.5,justin tucker,justintucker,2022,152.0,16.0
Melvin Gordon,III,0.0,RB,107.5,melvin gordon,melvingordon,2022,87.1,10.0
Pat Freiermuth,PIT,9.0,TE,108.5,pat freiermuth,patfreiermuth,2022,148.2,15.0
Chris Olave,NO,14.0,WR,110.8,chris olave,chrisolave,2022,183.2,14.0
Tampa Bay Buccaneers,DST,11.0,DST,112.3,tampa bay buccaneers,tampabaybuccaneers,2022,101.0,-1.0
Derek Carr,FA,0.0,QB,113.3,derek carr,derekcarr,2022,219.1,15.0
Kenneth Walker III,SEA,11.0,RB,116.0,kenneth walker,kennethwalker,2022,189.2,14.0
Chase Claypool,FA,0.0,WR,116.3,chase claypool,chaseclaypool,2022,96.1,14.0
James Robinson,FA,0.0,RB,117.0,james robinson,jamesrobinson,2022,88.6,11.0
Michael Carter,ARI,13.0,RB,117.0,michael carter,michaelcarter,2022,123.5,15.0
San Francisco 49ers,DST,9.0,DST,118.8,san francisco 49ers,sanfrancisco49ers,2022,148.0,-1.0
Kadarius Toney,FA,0.0,WR,119.0,kadarius toney,kadariustoney,2022,44.9,8.0
James Cook,BUF,7.0,RB,120.0,james cook,jamescook,2022,98.6,15.0
Cole Kmet,CHI,14.0,TE,121.8,cole kmet,colekmet,2022,131.6,16.0
Indianapolis Colts,DST,14.0,DST,123.5,indianapolis colts,indianapoliscolts,2022,103.0,-1.0
Kirk Cousins,ATL,14.0,QB,125.3,kirk cousins,kirkcousins,2022,278.6,16.0
George Pickens,DAL,9.0,WR,127.8,george pickens,georgepickens,2022,150.3,16.0
Harrison Butker,KC,8.0,K,129.0,harrison butker,harrisonbutker,2022,94.0,12.0
Los Angeles Rams,DST,7.0,DST,129.0,los angeles rams,losangelesrams,2022,97.0,-1.0
Mike Gesicki,CIN,10.0,TE,129.0,mike gesicki,mikegesicki,2022,89.6,16.0
