"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"1","Nick Folk","K","FA","11","15","8","5","17","3","14","15","6","9","16","21","7","-","5","3","9","","10.3","164"
"2","Evan McPherson","K","CIN","11","7","7","6","2","11","13","7","4","BYE","21","13","5","12","13","11","11","","9.6","154"
"2","Justin Tucker","K","FA","11","7","17","13","3","12","6","-","10","5","11","13","7","15","6","3","15","","9.6","154"
"4","Daniel Carlson","K","LV","11","17","13","2","3","12","9","BYE","10","2","8","21","11","3","12","6","13","","9.6","153"
"5","Matt Gay","K","WAS","12","9","11","9","9","8","9","8","12","4","-","8","15","14","10","12","2","","9.5","152"
"6","Chris Boswell","K","PIT","12","7","4","7","11","13","BYE","3","16","12","14","5","9","2","15","4","17","","9.4","151"
"7","Greg Joseph","K","SF","8","13","13","1","17","10","-","12","7","10","10","2","10","13","5","12","6","","9.3","149"
"8","Matt Prater","K","FA","8","12","7","15","5","15","7","3","7","5","7","-","9","16","6","4","15","","8.8","141"
"8","Jake Elliott","K","PHI","7","4","3","12","9","2","2","16","6","14","19","1","17","BYE","9","10","10","","8.8","141"
"10","Dustin Hopkins","K","CLE","12","14","3","4","11","10","-","7","7","9","12","1","11","13","4","12","10","","8.8","140"
"11","Tyler Bass","K","BUF","11","5","14","16","8","13","BYE","10","7","9","1","7","4","9","7","9","3","","8.3","133"
"12","Greg Zuerlein","K","FA","12","10","5","6","14","13","-","8","0","-","10","8","11","13","10","8","2","","8.7","130"
"12","Harrison Butker","K","KC","10","5","6","6","10","9","4","8","9","12","9","BYE","13","14","8","-","7","","8.7","130"
"12","Mason Crosby","K","FA","3","5","16","9","16","6","6","6","1","5","9","13","-","9","7","6","13","","8.1","130"
"15","Randy Bullock","K","FA","-","15","5","12","7","11","11","12","4","11","1","1","-","9","7","9","11","","8.4","126"
"15","Ryan Succop","K","FA","7","6","6","15","10","4","8","3","-","7","13","8","6","9","0","16","8","","7.9","126"
"17","Brandon McManus","K","GB","9","13","16","1","7","6","2","6","13","7","-","4","4","10","6","10","9","","7.7","123"
"18","Graham Gano","K","NYG","1","22","6","8","12","3","15","5","11","BYE","4","7","11","1","7","6","3","","7.6","122"
"19","Younghoe Koo","K","ATL","6","5","6","6","11","BYE","12","10","9","3","0","3","5","12","8","11","7","","7.1","114"
"20","Jason Sanders","K","MIA","6","0","11","5","5","8","4","5","6","10","6","10","10","BYE","7","9","3","","6.6","105"
"21","Cairo Santos","K","CHI","2","8","7","6","10","2","3","11","9","BYE","1","11","2","14","3","5","10","","6.5","104"
"22","Robbie Gould","K","FA","14","6","4","-","-","-","-","-","5","9","14","11","7","8","7","6","11","","8.5","102"
"23","Zane Gonzalez","K","FA","-","9","6","4","14","9","4","17","7","17","3","5","-","3","-","-","-","","8.2","98"
"23","Michael Badgley","K","FA","1","-","-","-","-","8","7","7","9","11","11","8","7","-","10","9","10","","8.2","98"
"25","Jason Myers","K","SEA","4","6","7","4","5","10","6","7","BYE","0","7","1","4","7","4","6","18","","6","96"
"26","Chase McLaughlin","K","TB","3","7","19","9","10","2","7","4","11","1","1","5","-","7","2","-","2","","6","90"
"27","Joey Slye","K","TEN","14","3","5","-","5","-","8","16","-","12","9","3","BYE","-","-","2","12","","8.1","89"
"28","Matthew Wright","K","CAR","-","-","-","3","1","16","-","1","11","5","4","6","1","0","10","11","4","","5.6","73"
"29","Ka'imi Fairbairn","K","HOU","-","-","-","0","4","3","5","2","10","BYE","11","2","0","9","16","-","1","","5.3","63"
"30","Matt Ammendola","K","FA","0","6","0","9","7","-","1","8","6","6","5","7","-","-","-","-","-","","5","55"
"31","Brett Maher","K","FA","-","-","-","-","-","-","-","-","-","-","5","0","6","12","10","3","14","","7.1","50"
"32","Riley Patterson","K","FA","-","-","-","-","-","-","-","-","-","-","-","2","13","4","14","10","3","","7.7","46"
"33","Rodrigo Blankenship","K","FA","4","12","11","10","8","-","-","-","-","-","-","-","-","-","-","-","-","","9","45"
"34","Austin Seibert","K","FA","6","6","-","-","12","3","15","0","-","-","-","-","-","-","-","-","-","","7","42"
"34","Brian Johnson","K","FA","-","-","-","-","0","-","7","12","9","3","-","-","6","0","5","-","-","","5.3","42"
"36","Eddy Pineiro","K","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","10","6","9","8","","8.3","33"
"37","Tristan Vizcaino","K","FA","8","10","4","4","3","0","-","-","-","-","-","-","-","-","-","-","-","","4.8","29"
"38","Aldrick Rosas","K","FA","9","1","4","3","-","-","-","-","-","-","5","-","-","-","-","-","-","","4.4","22"
"39","Ryan Santoso","K","FA","7","-","5","2","-","-","-","-","-","4","-","-","-","-","-","-","-","","4.5","18"
"40","Lirim Hajrullahu","K","FA","-","-","-","-","-","-","-","-","-","5","-","-","-","-","-","6","4","","5","15"
"41","Dominik Eberle","K","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","-","","13","13"
"41","Elliott Fry","K","FA","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","13","-","","6.5","13"
"43","Chris Blewitt","K","FA","-","-","-","-","-","-","5","6","-","-","-","-","-","-","-","-","-","","5.5","11"
"44","Josh Lambo","K","FA","3","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","","1.7","5"
"45","Chris Naggar","K","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4","-","","4","4"
"46","Cody Parkey","K","FA","-","-","-","-","3","-","-","-","-","-","-","-","-","-","-","-","-","","3","3"
"47","Ty Long","K","FA","0","0","0","0","0","0","-","0","-","0","0","0","0","0","0","-","0","","0","0"
"47","JJ Molson","K","FA","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"47","Cameron Nizialek","K","FA","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","","0","0"
"47","Alex Kessman","K","FA","-","-","-","-","-","-","-","-","-","-","-","-","0","-","-","-","-","","0","0"
""
""
