"Name","Team","POS","PTS","PTS/G","GP","CMP","YDS","TD","INT","ATT","YDS","TD","FUM","TGT","REC","YDS","TD"
"Christian McCaffrey","SF","RB","391.3","24.5","16","0","0","0","0","272","1459","14","2","83","67","564","7"
"Josh Allen","BUF","QB","369.6","23.1","16","355","3947","27","16","96","457","15","3","0","0","0","0"
"CeeDee Lamb","DAL","WR","367.7","23","16","0","0","0","0","13","106","2","2","168","122","1651","10"
"Jalen Hurts","PHI","QB","356.2","22.3","16","345","3803","23","14","155","601","15","5","0","0","0","0"
"Tyreek Hill","MIA","WR","355.2","23.7","15","0","0","0","0","6","15","0","1","158","112","1717","12"
"Lamar Jackson","BAL","QB","331.2","20.7","16","307","3678","24","7","148","821","5","6","0","0","0","0"
"Dak Prescott","DAL","QB","317.7","19.9","16","379","4237","32","8","55","242","2","2","0","0","0","0"
"Amon-Ra St. Brown","DET","WR","303.5","20.2","15","0","0","0","0","4","24","0","1","155","112","1371","9"
"Jordan Love","GB","QB","300.5","18.8","16","345","3843","30","11","47","248","4","2","0","0","0","0"
"Brock Purdy","SF","QB","295.6","18.5","16","308","4280","31","11","39","144","2","2","0","0","0","0"
"A.J. Brown","PHI","WR","289.7","18.1","16","0","0","0","0","0","0","0","1","157","105","1447","7"
"Puka Nacua","LAR","WR","284.4","17.8","16","0","0","0","0","12","89","0","0","153","101","1445","5"
"Patrick Mahomes","KC","QB","280.3","17.5","16","401","4184","27","14","75","389","0","3","0","0","0","0"
"Mike Evans","TB","WR","277.3","17.3","16","0","0","0","0","0","0","0","0","127","76","1233","13"
"DJ Moore","CHI","WR","276.1","17.3","16","0","0","0","0","4","21","1","1","130","92","1300","8"
"Keenan Allen","LAC","WR","272.9","21","13","1","49","1","0","2","6","0","1","150","108","1243","7"
"Jared Goff","DET","QB","270.3","16.9","16","384","4255","28","12","32","21","2","3","0","0","0","0"
"Travis Etienne Jr.","JAX","RB","268.7","16.8","16","0","0","0","0","251","951","11","0","67","53","446","1"
"Baker Mayfield","TB","QB","267.9","16.7","16","344","3907","28","10","57","156","1","3","0","0","0","0"
"Raheem Mostert","MIA","RB","267.7","17.8","15","0","0","0","0","209","1012","18","1","32","25","175","3"
"Tua Tagovailoa","MIA","QB","262.7","16.4","16","371","4451","28","12","34","67","0","5","0","0","0","0"
"Breece Hall","NYJ","RB","261.5","16.3","16","0","0","0","0","186","816","4","0","93","74","579","4"
"Stefon Diggs","BUF","WR","258.1","16.1","16","0","0","0","0","1","5","0","1","152","100","1096","8"
"Ja'Marr Chase","CIN","WR","257.1","17.1","15","1","-7","0","0","3","-6","0","0","139","96","1197","7"
"Russell Wilson","DEN","QB","256.9","17.1","15","297","3070","26","8","80","341","3","5","0","0","0","0"
"Kyren Williams","LAR","RB","255","21.3","12","0","0","0","0","228","1144","12","2","48","32","206","3"
"Rachaad White","TB","RB","254.6","15.9","16","0","0","0","0","253","915","6","2","66","60","531","3"
"C.J. Stroud","HOU","QB","254.5","18.2","14","299","3844","21","5","36","147","3","4","1","1","0","0"
"Sam Howell","WAS","QB","250.1","15.6","16","369","3792","20","19","44","264","5","2","0","0","0","0"
"Davante Adams","LV","WR","249.8","15.6","16","0","0","0","0","0","0","0","0","167","98","1098","7"
"Trevor Lawrence","JAX","QB","246.3","16.4","15","341","3736","19","12","67","329","4","7","0","0","0","0"
"Brandon Aiyuk","SF","WR","243.7","16.2","15","0","0","0","0","0","0","0","1","101","72","1317","7"
"Matthew Stafford","LAR","QB","243.1","16.2","15","326","3965","24","11","21","65","0","0","0","0","0","0"
